Iterations,Carleton92,Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Pur93,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83
280,9.0042,12.0163,61.98284,23.52486,36.06885,25.3197,15.88096,26.63492,190.06864,14.37338,7.36843,44.75004,58.60987,,,,,,,,,,,,,
290,8.98302,12.01441,61.98284,23.52486,35.93855,25.29182,15.86741,26.55567,190.06864,14.37338,7.36081,44.46967,58.60987,,,,,,,,,,,,,
300,8.91907,11.99179,61.30284,23.51813,35.87199,25.10693,15.84927,26.51927,190.06864,14.36765,7.3586,44.46967,58.60987,,,,,,,,,,,,,
310,8.91907,11.96745,61.30284,23.51813,35.6684,25.09299,15.84057,26.51927,190.06864,14.36765,7.34083,43.65767,58.60987,,,,,,,,,,,,,
320,8.91022,11.9668,60.40062,23.46464,35.66223,25.09006,15.83774,26.34501,190.06864,14.36765,7.33895,43.65767,58.56311,,,,,,,,,,,,,
330,8.90701,11.90795,59.28596,23.46464,34.8045,25.04567,15.83128,26.13087,190.06864,14.36765,7.3318,43.65767,58.56311,,,,,,,,,,,,,
340,8.90566,11.79824,59.28596,21.87449,34.80338,25.03687,15.82216,25.96044,190.06864,14.3445,7.3318,43.49185,58.20924,,,,,,,,,,,,,
350,8.90158,11.79611,59.2424,21.87449,34.78936,24.97487,15.80142,25.81693,190.06864,14.3445,7.32794,43.13985,58.20924,,,,,,,,,,,,,
360,8.89898,11.78607,59.2424,21.87449,34.78861,24.92278,15.78087,25.81632,189.79368,14.34129,7.32009,43.13985,58.1391,,,,,,,,,,,,,
370,8.89198,11.78607,58.85573,21.87449,34.70149,24.91874,15.77421,25.57666,189.79368,14.33303,7.32009,43.13985,58.1391,,,,,,,,,,,,,
380,8.89198,11.78093,58.85573,21.87449,34.67625,24.89527,15.76066,25.55079,189.79368,14.2897,7.3073,42.36604,58.08596,,,,,,,,,,,,,
390,8.89181,11.7671,58.85573,21.65451,33.59811,24.67516,15.71494,25.45692,189.79368,14.28512,7.30312,42.33767,57.88617,,,,,,,,,,,,,
400,8.89035,11.7362,58.85573,21.65451,33.58222,24.66746,15.67572,25.36548,189.79368,14.26953,7.30312,42.33767,57.58118,,,,,,,,,,,,,
410,8.89035,11.73614,58.85573,21.65451,33.58184,24.66452,15.66543,25.33778,189.79368,14.26953,7.29475,42.33767,57.58118,,,,,,,,,,,,,
420,8.88296,11.7277,58.85573,21.65451,33.56857,24.27311,15.64978,25.30286,189.77077,14.23812,7.25435,42.31404,57.58118,,,,,,,,,,,,,
430,8.88296,11.7277,58.85573,21.65451,33.56072,24.21918,15.61638,25.13235,189.77077,14.23812,7.24424,42.31404,57.58118,,,,,,,,,,,,,
440,8.88182,11.70844,58.41129,21.65451,33.55175,24.21918,15.58535,25.06991,189.77077,14.23056,7.24015,42.31404,57.58118,,,,,,,,,,,,,
450,8.8695,11.70678,58.41129,21.65451,33.53679,24.21845,15.58398,25.00146,189.77077,14.23056,7.23996,41.84604,57.58118,,,,,,,,,,,,,
460,8.86754,11.70678,58.41129,21.65451,33.53585,24.15829,15.55282,24.95792,189.77077,14.22804,7.23996,41.81404,57.58118,,,,,,,,,,,,,
470,8.85918,11.68096,58.14196,21.65451,33.4693,24.14398,15.53603,24.94547,189.77077,14.22804,7.23009,41.81404,57.58118,,,,,,,,,,,,,
480,8.84936,11.63967,58.14196,21.65451,33.4693,23.9756,15.52877,24.79577,189.77077,14.2246,7.23009,41.6584,57.58118,,,,,,,,,,,,,
490,8.83904,11.63393,58.14196,21.57657,33.4579,23.97083,15.51023,24.71756,189.77077,14.2246,7.23009,41.5664,57.58118,,,,,,,,,,,,,
500,8.82905,11.62868,58.13929,21.57657,33.43154,23.95103,15.49604,24.70659,189.75931,14.21451,7.23009,41.01585,57.58118,,,,,,,,,,,,,
510,8.82905,11.60953,58.13929,21.57657,33.36835,23.81456,15.49205,24.66435,189.75931,14.20992,7.22849,40.98422,57.58118,,,,,,,,,,,,,
520,8.77633,11.60953,58.13929,21.57657,33.31974,23.81383,15.49205,24.5831,189.75931,14.19342,7.22835,40.98422,57.45578,,,,,,,,,,,,,
530,8.64451,11.30999,57.84773,21.57657,33.25075,23.59446,15.47999,24.5831,189.75931,14.19273,7.22835,40.43876,57.45578,,,,,,,,,,,,,
540,8.64451,11.3081,57.84773,21.57657,33.24888,23.59446,15.46474,24.55942,189.75931,14.19273,7.22835,40.43876,57.45578,,,,,,,,,,,,,
550,8.63105,11.3081,57.84773,21.57657,33.23206,23.50972,15.46071,24.48383,189.54982,14.19273,7.22835,40.43876,57.45578,,,,,,,,,,,,,
560,8.6285,11.30125,57.84773,21.57657,33.22795,23.35051,15.46071,24.34284,189.54982,14.19273,7.2007,40.43731,57.45578,,,,,,,,,,,,,
570,8.6285,11.30125,57.83707,21.57657,33.22477,23.34024,15.44277,24.20872,189.54982,14.19273,7.20028,40.43731,57.307,,,,,,,,,,,,,
580,8.49586,11.30125,57.83707,21.57657,33.21935,23.33804,15.42482,24.18782,189.54982,14.19273,7.20028,40.43295,57.307,,,,,,,,,,,,,
590,8.47306,11.26929,57.79973,21.56028,33.19336,23.32703,15.41666,23.7773,189.54982,14.19273,7.19741,40.4144,57.307,,,,,,,,,,,,,
600,8.46693,11.23833,57.79973,21.56028,33.19336,23.25,15.382,23.7773,189.54,14.19273,7.18692,40.4144,56.93081,,,,,,,,,,,,,
610,8.44711,11.23833,57.79973,21.56028,33.19336,23.23606,15.36129,23.76729,188.11938,14.19273,7.18429,40.4144,56.93081,,,,,,,,,,,,,
620,8.44711,11.22137,57.79973,21.56028,33.1784,23.23422,15.35326,23.76694,188.11938,14.19273,7.17465,40.19185,56.93081,,,,,,,,,,,,,
630,8.42789,11.22137,57.04329,21.56028,33.16401,23.20965,15.3502,23.71565,186.64802,14.16912,7.1699,40.13549,56.93081,,,,,,,,,,,,,
640,8.42778,11.19479,56.95262,21.56028,33.13503,23.18947,15.33558,23.66531,186.64802,14.16912,7.16727,40.13549,56.93081,,,,,,,,,,,,,
650,8.42778,11.19036,56.80951,21.56028,33.13204,23.15609,15.32606,23.49785,186.64802,14.16912,7.14686,40.13549,56.87236,,,,,,,,,,,,,
660,8.42555,11.19036,56.80951,21.56028,33.10979,23.15389,15.32599,23.4206,186.64802,14.16912,7.14686,40.13549,56.72996,,,,,,,,,,,,,
670,8.42555,11.15975,56.60329,21.56028,33.10157,23.11757,15.30624,23.4206,186.64802,14.15651,7.14446,40.03985,56.63538,,,,,,,,,,,,,
