Iterations,Carleton92,Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83,test,test1
310,8.09655,10.12419,57.2264,15.80718,27.61606,20.67223,21.66488,178.91479,15.04601,6.10313,38.42749,50.0934,,,,,,,,,,,,,,14.79772875,14.35183237
320,8.05002,10.12395,56.71262,17.41115,27.54576,20.58969,21.43967,176.82805,15.01987,6.11502,37.58167,49.25281,,,,,,,,,,,,,,14.67622485,14.31767373
330,8.04312,10.1129,56.11351,16.92904,25.78525,21.06621,21.04108,177.97371,14.93597,6.1248,37.41876,49.72358,,,,,,,,,,,,,,14.66086492,14.36444127
340,8.02532,10.07048,56.28951,17.15079,25.81591,21.28375,21.16866,178.92461,14.91556,6.11681,37.79404,49.88299,,,,,,,,,,,,,,14.62945731,14.40593599
350,8.0163,10.02842,56.5064,17.04948,25.83348,20.91361,20.79664,177.25358,14.96531,6.11573,37.07185,49.73846,,,,,,,,,,,,,,14.63450087,14.42290069
360,8.07939,10.06711,56.34462,18.09765,25.61269,20.37399,20.60444,175.91807,14.75302,6.12189,37.90822,49.47704,,,,,,,,,,,,,,14.6024055,14.51483099
370,8.08167,10.03137,56.07173,17.08277,26.36218,20.64802,20.4456,177.16029,14.83028,6.11723,39.34167,49.03389,,,,,,,,,,,,,,14.5627448,14.45339129
380,8.07711,9.90636,55.64062,17.01653,26.58315,20.62014,20.60636,175.92298,14.75715,6.12598,42.13695,49.25387,,,,,,,,,,,,,,14.7456884,14.30368932
390,8.108,9.91161,55.41307,18.81568,26.6512,21.02476,20.01461,175.76422,14.73583,6.11704,36.59185,50.2815,,,,,,,,,,,,,,14.79383145,14.20625695
400,8.19205,9.99001,55.2984,17.3148,26.60147,21.11867,20.01644,174.82478,14.73996,6.10482,36.49622,50.29319,,,,,,,,,,,,,,14.77274021,14.2374353
410,8.21132,9.95167,56.08329,17.26591,27.02735,21.39417,20.16814,176.86897,14.74638,6.06001,34.95658,51.07002,,,,,,,,,,,,,,14.6851657,14.36604603
420,8.17961,9.77437,56.71884,17.081,27.15223,21.25844,20.47468,176.47944,14.83624,6.02027,37.4944,51.25706,,,,,,,,,,,,,,14.75990206,14.30460633
430,8.2111,9.90122,55.95973,17.22907,27.17336,20.80429,21.36112,176.29777,14.79062,6.00988,38.97185,51.11147,,,,,,,,,,,,,,14.63220834,14.34885209
440,8.23065,9.84473,56.29484,17.37643,26.95182,20.97047,21.10309,177.08337,14.82065,6.01971,41.08713,51.08171,,,,,,,,,,,,,,14.73858157,14.28901715
450,8.24199,9.86323,55.92507,17.36333,26.8847,21.72946,21.41634,177.20121,14.78008,6.01228,41.84895,50.23899,,,,,,,,,,,,,,14.75921431,14.33326291
460,8.24275,9.85354,55.80062,17.3488,26.89592,21.73276,21.58624,176.13247,14.60218,6.00819,39.91476,50.74909,,,,,,,,,,,,,,14.83555543,14.43092453
470,8.237,9.798,54.46107,17.65274,28.23131,21.7467,20.70006,171.84769,14.6063,6.0063,38.90422,51.38777,,,,,,,,,,,,,,14.55219917,14.35091536
480,8.23228,9.79735,56.01396,17.99457,28.18813,22.34758,19.99267,174.02772,14.67898,6.0009,37.87695,50.16992,,,,,,,,,,,,,,14.645505,14.40020468
490,8.21566,9.79434,55.55707,17.06613,28.10344,21.84428,19.93763,176.19303,14.60905,6.02709,37.88749,50.57374,,,,,,,,,,,,,,14.57902173,14.35870995
500,8.22435,9.74459,55.09484,18.38493,27.80787,21.88096,19.82015,177.05064,14.60837,6.04312,38.70349,50.12316,,,,,,,,,,,,,,14.62441376,14.37246511
510,8.3117,9.70276,54.16062,18.35872,27.92209,22.0442,19.73812,176.84114,14.64459,6.03062,37.85695,50.27406,,,,,,,,,,,,,,14.63427162,14.22918221
520,8.32354,9.69461,54.33751,19.05621,27.85442,21.78265,19.38063,174.32232,14.45041,6.02911,39.76131,51.21136,,,,,,,,,,,,,,14.63014507,14.39126382
530,8.28689,9.677,55.70551,19.7544,30.17317,22.36739,19.29633,175.79204,14.48274,6.02699,33.45222,50.53761,,,,,,,,,,,,,,14.54348757,14.27755452
540,8.26328,9.66578,54.54907,17.8465,30.1197,22.35748,21.16187,178.59564,14.66362,6.04726,35.55622,49.95631,,,,,,,,,,,,,,14.57695846,14.35160312
550,8.19319,9.67576,54.9304,17.20534,30.18009,22.44992,21.05876,179.38615,14.63977,6.03847,36.01985,49.71614,,,,,,,,,,,,,,14.67484934,14.37957194
560,8.23124,9.6724,55.76507,16.22447,30.12045,21.41397,20.70703,177.95735,14.64298,6.02798,36.00785,49.69701,,,,,,,,,,,,,,14.54898964,14.39057607
570,8.21279,9.66141,55.50996,15.51458,26.30703,21.9646,21.11006,177.35014,14.66178,5.94673,35.80313,49.8798,,,,,,,,,,,,,,14.52698138,14.28993416
580,8.21154,9.67736,55.52418,16.5036,25.8561,22.00312,21.50342,178.7544,14.63198,5.9535,38.61949,49.46747,,,,,,,,,,,,,,14.50589014,14.34724732
590,8.14519,9.5846,55.47973,18.98217,26.69514,21.82263,21.26777,178.82969,14.55197,5.96135,37.38167,49.57268,,,,,,,,,,,,,,14.5975912,14.20190115
600,8.08162,9.53202,55.41929,20.07534,26.64578,21.86188,21.34153,176.82805,14.5318,5.97475,36.6544,49.39202,,,,,,,,,,,,,,14.63541788,14.23170399
610,8.16609,9.53586,54.75618,19.76467,26.70467,21.46863,21.77704,177.48926,14.56825,6.01063,37.51622,49.00839,,,,,,,,,,,,,,14.68310243,14.34633031
620,8.12272,9.57556,55.39351,20.55993,26.56521,20.46313,21.41468,176.74785,14.65032,6.0151,38.41004,49.3357,,,,,,,,,,,,,,14.623726,14.30437707
630,8.18233,9.57314,55.40507,19.54151,26.59942,20.65792,21.24399,177.9688,14.65834,6.02361,38.50058,49.47916,,,,,,,,,,,,,,14.64756827,14.36902632
640,8.19042,9.58685,53.4984,19.61979,26.76936,20.57868,20.85002,177.02118,14.5914,6.02855,37.77731,49.67363,,,,,,,,,,,,,,14.68401944,14.26288235
650,8.16083,9.58023,53.00862,22.27371,26.68953,20.37105,21.31,176.31414,14.52148,6.01025,36.29876,48.65557,,,,,,,,,,,,,,14.6585724,14.24110335
660,8.14427,9.59707,53.57129,22.8047,26.72561,19.77017,21.25688,176.36815,14.25371,6.00503,39.83585,48.612,,,,,,,,,,,,,,14.5893381,14.23101623
670,8.18081,9.6656,53.0904,21.61342,26.67289,20.59079,20.65094,176.96226,14.30713,6.00579,39.22313,48.14654,,,,,,,,,,,,,,14.60951233,14.38209372
680,8.27837,9.67328,52.37396,21.95383,28.55548,20.39196,20.69309,175.71021,14.28237,6.00438,39.03331,48.42815,,,,,,,,,,,,,,14.67760037,14.33440917
690,8.26621,9.71476,52.62729,18.94781,28.47771,20.89783,20.49149,179.02772,14.38645,6.00612,37.9544,48.7374,,,,,,,,,,,,,,14.63587639,14.35710518
700,7.81065,9.7362,52.9544,15.5663,27.2444,20.79879,20.08672,178.2634,14.34839,5.98876,39.76822,48.47066,,,,,,,,,,,,,,14.55105291,14.41029179
710,7.80353,9.72935,55.24684,16.78982,26.70691,20.99395,19.97525,181.35178,14.29154,5.99681,39.11513,48.98394,,,,,,,,,,,,,,14.05128216,14.3933271
720,7.79284,9.71617,55.22818,18.08384,28.11503,20.91801,19.86334,180.88042,14.29269,5.98533,40.77731,49.0477,,,,,,,,,,,,,,14.08635782,14.40135094
730,7.82395,9.69579,54.74907,18.09092,28.1255,21.65462,20.16091,180.27649,14.21428,5.993,40.38676,49.8713,,,,,,,,,,,,,,14.06893462,14.36833856
740,7.87878,9.70879,55.16418,16.92762,28.01333,21.00495,20.33134,178.01627,14.17645,6.0087,40.19804,51.23793,,,,,,,,,,,,,,14.04211206,14.3894298
